converted_date,weekly_sales,holiday_flag,fuel_price
2010-02-12,1641957.44,1,2.548
2010-09-10,1507460.69,1,2.565
2010-11-26,1955624.11,1,2.735
2010-12-31,1367320.01,1,2.943
2011-02-11,1649614.93,1,3.022
2011-09-09,1540471.24,1,3.546
2011-11-25,2033320.66,1,3.236
2011-12-30,1497462.72,1,3.129
2012-02-10,1802477.43,1,3.409
2012-09-07,1661767.33,1,3.73
2010-02-12,2137809.5,1,2.548
2010-09-10,1839128.83,1,2.565
2010-11-26,2658725.29,1,2.735
2010-12-31,1750434.55,1,2.943
2011-02-11,2168041.61,1,3.022
2011-09-09,1748000.65,1,3.546
2011-11-25,2614202.3,1,3.236
2011-12-30,1874226.52,1,3.129
2012-02-10,2103322.68,1,3.409
2012-09-07,1898777.07,1,3.73
2010-02-12,420728.96,1,2.548
2010-09-10,352260.97,1,2.565
2010-11-26,565567.84,1,2.735
2010-12-31,382677.76,1,2.943
2011-02-11,430526.21,1,3.022
2011-09-09,377347.49,1,3.546
2011-11-25,556925.19,1,3.236
2011-12-30,410553.88,1,3.129
2012-02-10,473292.47,1,3.409
2012-09-07,408229.73,1,3.73
2010-02-12,2188307.39,1,2.573
2010-09-10,1865820.81,1,2.574
2010-11-26,2789469.45,1,2.752
2010-12-31,1794868.74,1,2.955
2011-02-11,2187847.29,1,3.033
2011-09-09,2093139.01,1,3.554
2011-11-25,3004702.33,1,3.225
2011-12-30,2007105.86,1,3.119
2012-02-10,2374660.64,1,3.411
2012-09-07,2125104.72,1,3.709
2010-02-12,311825.7,1,2.548
2010-09-10,306533.08,1,2.565
2010-11-26,488362.61,1,2.735
2010-12-31,298180.18,1,2.943
2011-02-11,311590.54,1,3.022
2011-09-09,321110.22,1,3.546
2011-11-25,507900.07,1,3.236
2011-12-30,349624.88,1,3.129
2012-02-10,349239.88,1,3.409
2012-09-07,350648.91,1,3.73
2010-02-12,1606283.86,1,2.548
2010-09-10,1424225.44,1,2.565
2010-11-26,2267452.4,1,2.735
2010-12-31,1464050.02,1,2.943
2011-02-11,1486920.17,1,3.022
2011-09-09,1483574.38,1,3.546
2011-11-25,2249811.55,1,3.236
2011-12-30,1598080.52,1,3.129
2012-02-10,1620603.92,1,3.409
2012-09-07,1608077.01,1,3.73
2010-02-12,524104.92,1,2.572
2010-09-10,535769.32,1,2.78
2010-11-26,835189.26,1,2.742
2010-12-31,729572.08,1,2.829
2011-02-11,559903.13,1,3.037
2011-09-09,613135.23,1,3.566
