store,avg_sales,avg_temp,avg_unemployment
20,2107676.87,55.45,7.37
4,2094712.96,62.25,5.96
14,2020978.4,57.79,8.65
13,2003620.31,53.7,7
2,1925751.34,68.22,7.62
10,1899424.57,72.24,8.36
27,1775216.2,57.31,8
6,1564728.19,69.7,6.61
1,1555264.4,68.31,7.61
39,1450668.13,70.6,7.87
19,1444999.04,52.3,8
31,1395901.44,68.85,7.62
23,1389864.46,48.81,4.8
24,1356755.39,54.03,8.45
11,1356383.12,72.48,7.18
28,1323522.24,70.26,13.12
41,1268125.42,48.41,6.97
32,1166568.15,52.75,8.59
18,1084718.42,53.37,8.84
22,1028501.04,54.9,8.07
12,1009001.61,70.26,13.12
26,1002911.84,43.66,7.87
34,966781.56,58.5,9.93
40,964128.04,47.67,4.8
35,919724.98,57.31,8.79
8,908749.52,62.51,6.09
17,893581.39,46.39,6.55
45,785981.41,57.79,8.65
21,756069.08,68.85,7.62
25,706721.53,52.14,7.37
43,633324.72,68.88,9.93
15,623312.47,51.83,8
7,570617.31,39.72,8.59
42,556403.86,72.24,8.36
9,543980.55,67.78,6.1
29,539451.43,54.9,9.81
16,519247.73,45.03,6.48
37,518900.28,71.16,7.87
30,438579.62,68.85,7.62
3,402704.44,71.43,7.18
38,385731.65,70.26,13.12
36,373511.99,71.16,7.87
5,318011.81,69.41,6.3
44,302748.87,53.7,6.74
33,259861.69,76.73,8.53
