converted_date,weekly_sales,moving_avg_sales
2010-02-05,1643690.9,1643690.9
2010-02-05,2136989.46,1890340.18
2010-02-05,461622.22,1414100.86
2010-02-05,2135143.87,1594361.61
2010-02-05,317173.1,1338923.91
2010-02-05,1652635.1,1340712.75
2010-02-05,496725.44,1012659.95
2010-02-05,1004137.09,1121162.92
2010-02-05,549505.55,804035.26
2010-02-05,2193048.75,1179210.39
2010-02-05,1528008.64,1154285.09
2010-02-05,1100046.37,1274949.28
2010-02-05,1967220.53,1467565.97
2010-02-05,2623469.95,1882358.85
2010-02-05,652122.44,1574173.59
2010-02-05,477409.3,1364053.72
2010-02-05,789036.02,1301851.65
2010-02-05,1205307.5,1149469.04
2010-02-05,1507637.17,926302.49
2010-02-05,2401395.47,1276157.09
2010-02-05,798593.88,1340394.01
2010-02-05,1033017.37,1389190.28
2010-02-05,1364721.58,1421073.09
2010-02-05,1388725.63,1397290.79
2010-02-05,677231.63,1052458.02
2010-02-05,1034119.21,1099563.08
2010-02-05,1874289.79,1267817.57
2010-02-05,1672352.29,1329343.71
2010-02-05,538634.46,1159325.48
2010-02-05,465108.52,1116900.85
2010-02-05,1469252.05,1203927.42
2010-02-05,1087616.19,1046592.7
2010-02-05,274593.43,767040.93
2010-02-05,956228.96,850559.83
2010-02-05,1230613.5,1003660.83
2010-02-05,467546.74,803319.76
2010-02-05,536006.73,692997.87
2010-02-05,358496.14,709778.41
2010-02-05,1230596.8,764651.98
2010-02-05,1001943.8,718918.04
2010-02-05,1086533.18,842715.33
2010-02-05,543384.01,844190.79
2010-02-05,647029.28,901897.41
2010-02-05,281090.95,711996.24
2010-02-05,890689.51,689745.39
2010-02-12,1641957.44,800830.24
2010-02-12,2137809.5,1119715.34
2010-02-12,420728.96,1074455.27
2010-02-12,2188307.39,1455898.56
2010-02-12,311825.7,1340125.8
2010-02-12,1606283.86,1332991.08
2010-02-12,524104.92,1010250.17
2010-02-12,994801.4,1125064.65
2010-02-12,552677.48,797938.67
2010-02-12,2176028.52,1170779.24
2010-02-12,1574684.08,1164459.28
2010-02-12,1117863.33,1283210.96
2010-02-12,2030933.46,1490437.37
2010-02-12,1704218.84,1720745.65
2010-02-12,682447.1,1422029.36
2010-02-12,472044.28,1201501.4
2010-02-12,841951.91,1146319.12
2010-02-12,1187880.7,977708.57
2010-02-12,1536549.95,944174.79
2010-02-12,2109107.9,1229506.95
2010-02-12,809321.44,1296962.38
2010-02-12,1022571.25,1333086.25
2010-02-12,1380892.08,1371688.52
2010-02-12,1414107.1,1347199.95
2010-02-12,583364.02,1042051.18
2010-02-12,1015684.09,1083323.71
2010-02-12,1745362.72,1227882
2010-02-12,1558968.49,1263497.28
2010-02-12,529672.95,1086610.45
2010-02-12,497374.57,1069412.56
2010-02-12,1543947.23,1175065.19
2010-02-12,1123566.12,1050705.87
2010-02-12,294882.83,797888.74
2010-02-12,994610.99,890876.35
2010-02-12,1168815.31,1025164.5
2010-02-12,469563.7,810287.79
2010-02-12,529852.7,691545.11
2010-02-12,342214.9,701011.52
2010-02-12,1266229.07,755335.14
2010-02-12,955338.29,712639.73
2010-02-12,1075656.34,833858.26
2010-02-12,575709.96,843029.71
2010-02-12,682918.99,911170.53
2010-02-12,286857.13,715296.14
2010-02-12,656988.64,655626.21
2010-02-19,1611968.17,762888.58
2010-02-19,2124451.54,1072636.89
2010-02-19,421642.19,1020381.53
2010-02-19,2049860.26,1372982.16
2010-02-19,303447.57,1302273.95
2010-02-19,1567138.07,1293307.93
2010-02-19,506760.54,969769.73
2010-02-19,963960.37,1078233.36
2010-02-19,511327.9,770526.89
2010-02-19,2113432.58,1132523.89
2010-02-19,1503298.7,1119756.02
2010-02-19,1095421.65,1237488.24
2010-02-19,1970274.64,1438751.09
2010-02-19,2204556.7,1777396.85
2010-02-19,660838.75,1486878.09
2010-02-19,469868.7,1280192.09
2010-02-19,800714,1221250.56
2010-02-19,1150663.42,1057328.31
2010-02-19,1515976.11,919612.2
2010-02-19,2161549.76,1219754.4
2010-02-19,867283.25,1299237.31
2010-02-19,988467.61,1336788.03
2010-02-19,1319588.04,1370572.95
2010-02-19,1385362.49,1344450.23
2010-02-19,676260.67,1047392.41
2010-02-19,999348.55,1073805.47
2010-02-19,1945070.33,1265126.02
2010-02-19,1491300.42,1299468.49
2010-02-19,542399.07,1130875.81
2010-02-19,463513.26,1088326.33
2010-02-19,1473386.75,1183133.97
2010-02-19,1082559.06,1010631.71
2010-02-19,296850.83,771741.79
2010-02-19,983963.07,860054.59
2010-02-19,1270658.64,1021483.67
2010-02-19,470281.03,820862.53
2010-02-19,510382.5,706427.21
2010-02-19,327237.92,712504.63
2010-02-19,1230591.97,761830.41
2010-02-19,916289.2,690956.52
2010-02-19,1052034.74,807307.27
2010-02-19,508794.87,806989.74
2010-02-19,658997.55,873341.67
